0	-100	RECTANGLE	1	750	702	750	702	video
-100	-200	RECTANGLE	1	750	702	750	702	video
-200	-300	RECTANGLE	1	750	702	750	702	video
-300	-400	RECTANGLE	1	750	702	750	702	video
-400	-500	RECTANGLE	1	750	702	750	702	video
-500	-600	RECTANGLE	1	750	702	750	702	video
-600	-700	RECTANGLE	1	750	702	750	702	video
-700	-800	RECTANGLE	1	750	702	750	702	video
-800	-900	RECTANGLE	1	750	702	750	702	video
-900	-1000	RECTANGLE	1	750	702	750	702	video
-1000	-1100	RECTANGLE	1	750	702	750	702	video
-1100	-1200	RECTANGLE	1	750	702	750	702	video
-1200	-1300	RECTANGLE	1	750	702	750	702	video
-1300	-1400	RECTANGLE	1	750	702	750	702	video
-1400	-1500	RECTANGLE	1	750	702	750	702	video
-1500	-1600	RECTANGLE	1	750	702	750	702	video
-1600	-1700	RECTANGLE	1	750	702	750	702	video
-1700	-1800	RECTANGLE	1	750	702	750	702	video
-1800	-1900	RECTANGLE	1	750	702	750	702	video
-1900	-2000	RECTANGLE	1	750	702	750	702	video
-2000	-2100	RECTANGLE	1	750	702	750	702	video
-2100	-2200	RECTANGLE	1	750	702	750	702	video
-2200	-2300	RECTANGLE	1	750	702	750	702	video
-2300	-2400	RECTANGLE	1	750	702	750	702	video
-2400	-2500	RECTANGLE	1	750	702	750	702	video
-2500	-2600	RECTANGLE	1	750	702	750	702	video
-2600	-2700	RECTANGLE	1	750	702	750	702	video
-2700	-2800	RECTANGLE	1	750	702	750	702	video
-2800	-2900	RECTANGLE	1	750	702	750	702	video
-2900	-3000	RECTANGLE	1	750	702	750	702	video
-3000	-3100	RECTANGLE	1	750	702	750	702	video
-3100	-3200	RECTANGLE	1	750	702	750	702	video
-3200	-3300	RECTANGLE	1	750	702	750	702	video
-3300	-3400	RECTANGLE	1	750	702	750	702	video
-3400	-3500	RECTANGLE	1	750	702	750	702	video
-3500	-3600	RECTANGLE	1	750	702	750	702	video
-3600	-3700	RECTANGLE	1	750	702	750	702	video
-3700	-3800	RECTANGLE	1	750	702	750	702	video
-3800	-3900	RECTANGLE	1	750	702	750	702	video
-3900	-4000	RECTANGLE	1	750	702	750	702	video
