-4100	-4200	RECTANGLE	1	590	332	817	499	video
-4000	-4100	RECTANGLE	1	584	328	805	495	video
-3900	-4000	RECTANGLE	1	581	326	804	491	video
-3800	-3900	RECTANGLE	1	571	319	798	482	video
-3700	-3800	RECTANGLE	1	561	313	773	472	video
-3600	-3700	RECTANGLE	1	556	308	758	463	video
-3500	-3600	RECTANGLE	1	546	302	740	453	video
-3400	-3500	RECTANGLE	1	539	300	728	447	video
-3300	-3400	RECTANGLE	1	529	297	716	438	video
-3200	-3300	RECTANGLE	1	519	292	703	432	video
-3100	-3200	RECTANGLE	1	506	289	688	425	video
-3000	-3100	RECTANGLE	1	496	282	674	419	video
-2900	-3000	RECTANGLE	1	481	280	659	413	video
-2800	-2900	RECTANGLE	1	472	273	645	407	video
-2700	-2800	RECTANGLE	1	465	271	632	402	video
-2600	-2700	RECTANGLE	1	456	266	620	397	video
-2500	-2600	RECTANGLE	1	446	264	607	392	video
-2400	-2500	RECTANGLE	1	437	263	595	388	video
-2300	-2400	RECTANGLE	1	428	264	584	385	video
-2200	-2300	RECTANGLE	1	421	262	576	382	video
-2100	-2200	RECTANGLE	1	413	262	565	378	video
-2000	-2100	RECTANGLE	1	405	261	555	375	video
-1900	-2000	RECTANGLE	1	397	262	544	373	video
-1800	-1900	RECTANGLE	1	390	262	534	372	video
-1700	-1800	RECTANGLE	1	384	259	526	370	video
-1600	-1700	RECTANGLE	1	376	257	517	369	video
-1500	-1600	RECTANGLE	1	369	258	507	367	video
-1400	-1500	RECTANGLE	1	363	259	499	365	video
-1300	-1400	RECTANGLE	1	354	259	491	364	video
-1200	-1300	RECTANGLE	1	352	259	484	363	video
-1100	-1200	RECTANGLE	1	346	262	476	363	video
-1000	-1100	RECTANGLE	1	341	261	469	362	video
-900	-1000	RECTANGLE	1	337	264	463	362	video
-800	-900	RECTANGLE	1	333	264	456	362	video
-700	-800	RECTANGLE	1	328	267	450	362	video
-600	-700	RECTANGLE	1	323	269	445	361	video
-500	-600	RECTANGLE	1	321	271	440	362	video
-400	-500	RECTANGLE	1	314	273	435	362	video
-300	-400	RECTANGLE	1	313	274	430	362	video
-200	-300	RECTANGLE	1	311	276	430	363	video
-100	-200	RECTANGLE	1	312	281	419	363	video
0	-100	RECTANGLE	1	308	286	412	364	video
